Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
TARGET-30-PASSRS-01	0	0.044871880025359245	0.05240642362569734	0	0.14590058914043347	0	0	0.17769703876806253	0	0	0	0.22026843010794273	0	0	0	0.30614345748077587	0	0	0	0.0527121808517288	0	0	0.986	-0.0546	1.1479219525983573
TARGET-30-PASTCN-01	0.03290280875934399	0.09555922754047518	0.08582146545372396	0.24521350018880148	0.05129020479614548	0	0	0.06284508807669914	0.1128756124423283	0	0	0.027525398604981342	0	0.04777184326986305	0.00133928160370954	0.23685556926392856	0	0	0	0	0	0	0.04	0.2414856354323917	0.996897369258445
TARGET-30-PASTKC-01	0.05295710180714614	0	0.19595521948967995	0.047098533827078105	0	0.08097746217004469	0	0.11438444948262894	0	0	0	0.05839934434379221	0.0230717297588099	0	0.0861789761915142	0.28318693033919595	0	0	0	0.05779025259010989	0	0	0.006	0.3596535332636469	0.9368201403743677
TARGET-30-PASUCB-01	0	0.22040485158200782	0.06507202397150742	0	0.014489960008073226	0.1609973364118902	0	0.017102648080886417	0	0	0.07801829299666257	0.09280573233695427	0.09408823935649399	0	0	0.19030976567611213	0	0	0.06671114957941193	0	0	0	1.0	-0.0796	1.1268913577049426
TARGET-30-PASUYG-01	0	0.014917038624249097	0.5213897604388893	0.033299104420589525	0.10183722327853525	0	0	0.0509730025101764	0	0	0.0026151321962198048	0.03509878858694396	0.05430258285019787	0	0.011626625659944404	0.156103975423819	0	0	0.017836766010435372	0	0	0	0	0.5609613368284045	0.8419750173786075
TARGET-30-PASWIJ-01	0.14194810066967065	0	0.10317063674359651	0.18667166531477775	0.04031306125242111	0	0	0.08186861016380134	0.09362570156698792	0	0	0.04173047037597221	0.018938055316266956	0	0.017044635786229008	0.21863511741061492	0.03574958754670537	0	0.02030435785295635	0	0	0	0.018	0.3167549144669646	0.9573772086848515
TARGET-30-PASXHE-01	0	0.023440738823341536	0.2020287198635106	0.08114059383993852	0	0.07908301840412302	0	0.16010917876975952	0	0	0	0.0304569232580377	0	0.05471682163211741	0.061345628591211405	0.2592067273866981	0	0	0	0.04847164943126218	0	0	0.008	0.3389038247855255	0.9462890880799414
TARGET-30-PASXRJ-01	0.3230026919919223	0.14315279727481495	0.019510281935707592	0.10162652140272034	0	0.008715364694665793	0	0.13258347026276318	0.039151574527680505	0	0	0.03975578569915537	0	0.055865660805521446	0.001245721430691943	0.10663558770475545	0	0	0.028754542269601266	0	0	0	0	0.6440263082177611	0.7662570216818669
TARGET-30-PASYPX-01	0.16746271784982103	0.01392422413361175	0.029390327441548438	0.21321652351329629	0.05492022976191275	0	0	0.05474584696236026	0.094826288272647	0	0	0.054265097345702985	0.025848010803474205	0.004662409089209159	0.00845112859418847	0.19779010350275114	0	0.011571752640450428	0.06892534008902612	0	0	0	0.018	0.32141824395581275	0.95505198385944
TARGET-30-PATCFL-01	0	0.016137183161488104	0.20597577384360605	0.1154300330946275	0.007192833406349579	0.00720381301987944	0	0.02579054177745575	0.019493749397818155	0	0	0.09124609973888427	0	0	0.009915387177503907	0.4467889032583528	0.03625662051794737	0	0.01856906160608698	0	0	0	0.064	0.16233281730200405	1.0357008354544888
TARGET-30-PATDXC-01	0.1667324097631858	0	0.03323456731264063	0.16631735663234437	0.08427221673899855	0	0.017169006016441186	0.0595869161833296	0.05224036370781514	0	0	0.016018327444307503	0.015426409624736489	0.11587375018930014	0	0.16721272614291136	0	0.008390020213879188	0.09752593003011004	0	0	0	0.006	0.3980795588295966	0.9165151890360832
TARGET-30-PATFCY-01	0.06227702024835771	0	0.2862451815844743	0.05760099211551332	0.03848141155003431	0.02434675533943131	0	0	0.0397921893063257	0	0	0.051583274231344685	0	0.002184758494350055	0	0.42361441289492313	0	0	0.013874004235245433	0	0	0	0.056	0.1859861741515944	1.0420860077606482
TARGET-30-PATGLU-01	0	0.028838168830593452	0.20173210655076548	0.1657043869277669	0.0032677496486891717	0	0	0.08081230476442236	0.03826896039340439	0	0	0.09623097063607221	0.0417077499521305	0.0004	0.1316905582894892	0.18776060660626398	0	0	0	0.023628276538604998	0	0	0.014	0.33397635595421354	0.9547085568676322
TARGET-30-PATHVK-01	0	0.07951987460323849	0.03446276775952427	0.005606908570251118	0	0.04517575767397419	0	0.03264210860163505	0	0	0.0863266643858856	0	0	0.3139262687177919	0	0.33519552111162154	0	0	0	0.06714412857607784	0	0	0.008	0.35493277103165644	0.9525375162669093
TARGET-30-PATINJ-01	0	0.011081995507282522	0.042824556996931225	0.26985318904754446	0.024574260761015952	0	0	0.08290273497763867	0.07053464836714828	0	0	0.04554827761516377	0.013097751905512378	0.10363901462634383	0.0007	0.3352437306373706	0	0	0	0	0	0	0.116	0.10534510302653498	1.0604968237429182
TARGET-30-PATNKP-02	0	0.07536747833787473	0.07033073356809767	0	0	0.35352926979455446	0	0.001503494995110739	0	0	0	0.12063107819410987	0.02112607213078573	0.01743260986244281	0	0.26832375625626737	0	0.05329606332122318	0.018459443539533476	0	0	0	1.0	-0.1208	1.1407375546786913
TARGET-30-PATYIL-01	0	0.04041128000523144	0.035268889119408356	0.06757784734868263	0	0.10708251470349785	0	0	0.095435521634487	0	0.08267895379110438	0.0012172946729255318	0.0363558148975299	0.3616479968628116	0.006261249366321044	0.07217301946968496	0	0	0	0.09388961812831538	0	0	0.676	-0.0064	1.1193597146800986
TARGET-30-PATYIL-02	0.003938064002384153	0	0	0	0	0	0	0.0008	0.03867100912852335	0	0.0764151444988462	0	0	0.3234051940163118	0	0.4901442912948111	0	0	0	0.0666225274657679	0	0	0.056	0.18577352013787304	1.0807490095397292
