	antecedent	consequent	confidence	lift
20174	31,50,57,66	37	0.9731638418079096	1.4404079205277114
20175	21,25,47	63	0.9622905027932961	1.4243139772815918
20176	6,24,39,53	31	0.9773691654879774	1.4466323416137838
20177	38,51,54,57	18	0.9735744089012517	1.4441179068524488
20178	15,18,47,53	31	0.985734664764622	1.4590143588030602
20179	8,15,57	4	0.9587345254470426	1.464674252844817
20180	2,4,59	44	0.9598337950138505	1.4206777331139482
20181	54,57,58,59	18	0.9732770745428974	1.443676866221865
20182	23,40,52	18	0.9596100278551533	1.4234043254945117
20183	18,34,69	68	0.9609483960948396	1.422327486378828
20184	19,35,36,47	2	0.9663865546218487	1.516720583449781
20185	24,53,64	30	0.9252948885976409	1.3710283403091927
20186	17,51,62	47	0.9801699716713881	1.4507778957713993
20187	4,21	23	0.9408602150537635	1.3940918025205227
20188	20,24,38	6	0.951856946354883	1.430380449375168
20189	19,24,38,64	31	0.9787234042553191	1.4486367895422445
20190	8,16,47,57	35	0.9650837988826816	1.429984381570253
20191	29,31,51,57	45	0.9483695652173914	1.4067311742406516
20192	6,29,34,53	31	0.9871244635193133	1.4610714400962552
20193	15,24,31,54	18	0.9724517906336089	1.4424527098957083
20194	24,32,33,35,64	31	0.9842857142857143	1.4568697253337424
20195	24,33,35,64	6	0.9451303155006858	1.4202721644056109
20196	50,59,60	44	0.9530386740331491	1.4106200782144784
20197	33,34,44	18	0.9602194787379973	1.424308333370248
20198	3,15,47,59	31	0.9745403111739745	1.4424452726076658
20199	15,18,24,54,57	19	0.9786931818181818	1.4564138278028667
20200	8,24,32,33	31	0.9760225669957687	1.4446392022773031
20201	15,24,32,54	19	0.9801136363636364	1.4585276359709405
20202	24,29,44,64	31	0.9787535410764873	1.4486813959220186
20203	20,58,59	35	0.9663394109396914	1.431844847607414
20204	20,35,43	62	0.9544827586206897	1.41275750953739
20205	28,36,38	3	0.9534883720930233	1.4913813583929467
20206	8,33,59,64	35	0.9707112970711297	1.4383227606064697
20207	22,61,68	63	0.9669421487603306	1.4311990128804892
20208	17,28,65	24	0.9623430962343096	1.424391822353253
20209	6,29,31,64	39	0.9787535410764873	1.4486813959220186
20210	15,17,25	24	0.9705056179775281	1.436473406630541
20211	2,24,37,59	31	0.9872340425531915	1.461233631190438
20212	10,22,52	65	0.9558011049723757	1.4162300243569181
20213	36,43,58,64	35	0.9815340909090909	1.4543591153470188
20214	24,58,63	30	0.9453551912568307	1.4007521005934545
20215	18,31,33,39	35	0.9707927677329624	1.4384434773505617
20216	21,28,36	3	0.9491059147180193	1.4845266180265955
20217	38,44,57,59,64	24	0.9828815977175464	1.4547914518311265
20218	18,32,35,54	24	0.9691444600280504	1.4344587174206804
20219	23,31,44,53	24	0.9828815977175464	1.4547914518311265
20220	3,18,53,54	24	0.971830985915493	1.438435122010257
20221	32,47,51,54	59	0.9732016925246827	1.4404639444672531
20222	18,34,38,63	31	0.9774330042313117	1.446726831182328
20223	23,31,57,58	51	0.971830985915493	1.438435122010257
